metric,value,percentage
total_records,100.0,100.0
valid_records,96.0,96.0
invalid_records,4.0,4.0
invalid_location,1.0,1.0
invalid_category,1.0,1.0
invalid_description,1.0,1.0
invalid_reporter,0.0,0.0
missing_closed_score,1.0,1.0
invalid_score,0.0,0.0
category_CUSTOMER_COMPLAINT,29.0,30.21
category_SUPPLY,22.0,22.92
category_FOOD_QUALITY,19.0,19.79
category_EQUIPMENT,17.0,17.71
category_STAFF,9.0,9.38
status_CLOSED,50.0,52.08
status_OPEN,32.0,33.33
status_DISCARDED,14.0,14.58
closed_incidents,50.0,52.08
average_satisfaction,3.46,
satisfaction_score_1,4.0,8.0
satisfaction_score_2,6.0,12.0
satisfaction_score_3,12.0,24.0
satisfaction_score_4,19.0,38.0
satisfaction_score_5,9.0,18.0
